,0,1,2,3
274,Jacksonville,102.3,111.9,-9.6
275,FIU,102.9,112.5,-9.6
276,Brown,104.2,114.0,-9.8
277,Campbell,100.4,110.5,-10.1
278,Miami OH,95.9,106.0,-10.1
279,Portland,98.7,108.9,-10.2
280,Bryant,101.8,112.0,-10.2
281,Youngstown St.,102.6,112.9,-10.3
282,Northern Colorado,96.6,106.9,-10.3
283,Cal St. Northridge,104.1,114.6,-10.5
284,Alcorn St.,95.4,106.0,-10.6
285,NJIT,98.7,109.2,-10.5
286,Manhattan,97.0,107.6,-10.6
287,The Citadel,105.5,116.5,-11.0
288,Austin Peay,106.2,117.2,-11.0
289,Delaware,97.3,108.5,-11.2
290,Sacramento St.,101.0,112.2,-11.2
291,South Florida,96.4,107.7,-11.3
292,Northwestern St.,101.1,112.5,-11.4
293,Quinnipiac,101.5,113.0,-11.5
294,UMass Lowell,104.3,115.8,-11.5
295,Radford,96.2,107.8,-11.6
296,Western Illinois,97.1,108.9,-11.8
297,Abilene Christian,97.0,108.9,-11.9
298,Norfolk St.,94.2,106.1,-11.9
299,UT Rio Grande Valley,100.9,112.9,-12.0
300,Sacred Heart,97.6,109.7,-12.1
301,Detroit,102.3,114.5,-12.2
302,Pepperdine,102.0,114.3,-12.3
303,Incarnate Word,101.7,114.3,-12.6
304,Dartmouth,99.2,112.1,-12.9
305,Cal Poly,100.1,113.0,-12.9
306,American,95.1,108.1,-13.0
307,Central Arkansas,104.0,117.5,-13.5
308,Charleston Southern,103.2,116.7,-13.5
309,Hampton,93.4,106.9,-13.5
310,UC Riverside,92.2,105.9,-13.7
311,Marist,100.8,114.4,-13.6
312,Prairie View A&M;,98.0,111.7,-13.7
313,Binghamton,96.2,110.0,-13.8
314,Nicholls St.,100.5,114.2,-13.7
315,McNeese St.,96.3,110.3,-14.0
316,Savannah St.,100.6,114.7,-14.1
317,SIU Edwardsville,95.1,109.2,-14.1
318,Stetson,100.9,115.4,-14.5
319,North Texas,96.3,110.8,-14.5
320,Maryland Eastern Shore,97.8,112.7,-14.9
321,Western Carolina,90.0,105.1,-15.1
322,Northern Arizona,95.1,110.4,-15.3
323,Morgan St.,91.2,106.6,-15.4
324,Southern Miss,93.0,108.5,-15.5
325,Southern,97.9,113.6,-15.7
326,Grambling St.,96.5,112.8,-16.3
327,VMI,97.6,113.8,-16.2
328,Jackson St.,92.7,109.1,-16.4
329,Lafayette,96.5,113.3,-16.8
330,UC Santa Barbara,91.3,109.1,-17.8
331,Idaho St.,97.9,115.8,-17.9
332,Southern Utah,101.3,119.6,-18.3
333,Hartford,92.6,111.0,-18.4
334,Chicago St.,92.3,110.9,-18.6
335,South Carolina St.,99.0,118.5,-19.5
336,Maine,91.1,110.7,-19.6
337,Howard,90.4,110.2,-19.8
338,Delaware St.,94.2,114.3,-20.1
339,Bethune Cookman,95.0,115.4,-20.4
340,Central Connecticut,92.9,113.9,-21.0
341,Alabama St.,91.1,112.8,-21.7
342,Coppin St.,93.6,115.6,-22.0
343,Mississippi Valley St.,95.8,118.3,-22.5
344,Florida A&M;,93.6,116.2,-22.6
345,St. Francis NY,88.0,112.1,-24.1
346,Longwood,92.2,117.4,-25.2
347,Arkansas Pine Bluff,85.7,110.9,-25.2
348,North Carolina A&T;,95.5,123.2,-27.7
349,Presbyterian,88.9,118.1,-29.2
350,Alabama A&M;,91.4,121.7,-30.3
